spring,vehicle_mass_kg,spring_mass_kg,total_mass_kg,gear_ratio,wheel_diam_mm,peak_speed_kmh,time_to_target_s,dist_to_target_m,traction_margin_n,traction_margin_pct,initial_accel_m_s2
spf-0939,1.50,1.5470,3.0470,62.0,199.0,49.10,1.4241,2.9909,0.2396,2.58,2.9734
spf-0939,1.50,1.5470,3.0470,62.0,195.0,49.10,1.3955,2.9308,0.0538,0.58,3.0343
spf-0939,1.50,1.5470,3.0470,62.0,198.0,49.10,1.4169,2.9759,0.1939,2.08,2.9884
spf-0939,1.50,1.5470,3.0470,62.0,196.0,49.10,1.4026,2.9459,0.1010,1.09,3.0189
spf-0939,1.50,1.5470,3.0470,62.0,197.0,49.10,1.4098,2.9609,0.1477,1.59,3.0035
spf-0939,1.50,1.5470,3.0470,62.0,194.0,49.10,1.3883,2.9158,0.0061,0.07,3.0500
spf-0939,1.50,1.5470,3.0470,62.0,200.0,49.10,1.4313,3.0060,0.2849,3.06,2.9585
spf-0939,1.55,1.5470,3.0970,60.0,198.0,48.70,1.3941,2.9284,0.0430,0.45,3.0381
spf-0939,1.55,1.5470,3.0970,60.0,199.0,48.70,1.4012,2.9432,0.0902,0.95,3.0229
spf-0939,1.55,1.5470,3.0970,60.0,200.0,48.70,1.4082,2.9580,0.1370,1.45,3.0077
spf-0939,1.65,1.5470,3.1970,58.0,198.0,47.93,1.3919,2.9246,0.0237,0.24,3.0446
spf-0939,1.65,1.5470,3.1970,58.0,200.0,47.93,1.4060,2.9541,0.1210,1.24,3.0141
spf-0939,1.65,1.5470,3.1970,58.0,199.0,47.93,1.3990,2.9394,0.0726,0.74,3.0293
spf-0939,1.75,1.5470,3.2970,56.0,199.0,47.20,1.3937,2.9292,0.0319,0.32,3.0423
spf-0939,1.75,1.5470,3.2970,56.0,200.0,47.20,1.4007,2.9439,0.0821,0.82,3.0271
spf-0939,1.85,1.5470,3.3970,54.0,200.0,46.50,1.3925,2.9273,0.0176,0.17,3.0468
spf-0939,2.00,1.5470,3.5470,52.0,200.0,45.51,1.4013,2.9470,0.0774,0.71,3.0302
spf-0939,2.00,1.5470,3.5470,52.0,199.0,45.51,1.3942,2.9323,0.0234,0.22,3.0454
spf-0939,2.15,1.5470,3.6970,50.0,199.0,44.57,1.3985,2.9425,0.0491,0.43,3.0387
spf-0939,2.15,1.5470,3.6970,50.0,200.0,44.57,1.4055,2.9572,0.1052,0.93,3.0235
spf-0939,2.30,1.5470,3.8470,48.0,200.0,43.70,1.4052,2.9579,0.0973,0.83,3.0267
spf-0939,2.30,1.5470,3.8470,48.0,199.0,43.70,1.3982,2.9431,0.0388,0.33,3.0419
spf-0935,1.50,0.9500,2.4500,44.0,200.0,42.92,1.4187,2.9874,0.1266,1.69,3.0003
spf-0935,1.50,0.9500,2.4500,44.0,197.0,42.92,1.3974,2.9426,0.0147,0.20,3.0460
spf-0935,1.50,0.9500,2.4500,44.0,198.0,42.92,1.4045,2.9575,0.0523,0.70,3.0306
spf-0935,1.50,0.9500,2.4500,44.0,199.0,42.92,1.4116,2.9724,0.0897,1.20,3.0154
spf-0938,1.50,0.9280,2.4280,46.0,200.0,42.60,1.4181,2.9868,0.1203,1.62,3.0025
spf-0938,1.50,0.9280,2.4280,46.0,197.0,42.60,1.3969,2.9420,0.0092,0.12,3.0482
spf-0938,1.50,0.9280,2.4280,46.0,198.0,42.60,1.4040,2.9569,0.0466,0.63,3.0328
spf-0938,1.50,0.9280,2.4280,46.0,199.0,42.60,1.4111,2.9718,0.0836,1.13,3.0176
spf-0935,1.60,0.9500,2.5500,42.0,200.0,42.07,1.4108,2.9721,0.0818,1.05,3.0199
spf-0935,1.60,0.9500,2.5500,42.0,198.0,42.07,1.3967,2.9423,0.0040,0.05,3.0504
spf-0935,1.60,0.9500,2.5500,42.0,199.0,42.07,1.4037,2.9572,0.0431,0.55,3.0351
spf-0935,1.70,0.9500,2.6500,40.0,200.0,41.27,1.3976,2.9456,0.0019,0.02,3.0513
spf-0935,1.85,0.9500,2.8000,38.0,200.0,40.15,1.4048,2.9629,0.0341,0.40,3.0398
spf-0935,2.00,0.9500,2.9500,36.0,200.0,39.12,1.4041,2.9635,0.0191,0.21,3.0455
spf-0937,1.58,0.7120,2.2891,80.0,200.0,38.04,1.4033,2.9643,0.0000,0.00,3.0520
spf-0937,1.58,0.7120,2.2891,80.0,200.0,38.04,1.4033,2.9643,0.0000,0.00,3.0520
spf-0935,2.20,0.9500,3.1500,34.0,200.0,37.85,1.4186,2.9971,0.1010,1.05,3.0199
spf-0935,2.20,0.9500,3.1500,34.0,199.0,37.85,1.4116,2.9821,0.0532,0.55,3.0351
spf-0935,2.20,0.9500,3.1500,34.0,198.0,37.85,1.4045,2.9671,0.0049,0.05,3.0504
spf-0937,1.65,0.7120,2.3620,78.0,200.0,37.45,1.4132,2.9865,0.0434,0.60,3.0336
spf-0937,1.65,0.7120,2.3620,78.0,199.0,37.45,1.4061,2.9716,0.0074,0.10,3.0489
spf-0937,1.70,0.7120,2.4120,76.0,200.0,37.06,1.4070,2.9744,0.0075,0.10,3.0489
spf-0935,2.40,0.9500,3.3500,32.0,200.0,36.71,1.4227,3.0084,0.1169,1.14,3.0171
spf-0935,2.40,0.9500,3.3500,32.0,199.0,36.71,1.4155,2.9934,0.0661,0.65,3.0323
spf-0935,2.40,0.9500,3.3500,32.0,198.0,36.71,1.4084,2.9783,0.0148,0.14,3.0476
spf-0934,1.50,0.5700,2.0700,32.0,196.0,36.17,1.4372,3.0405,0.1293,2.05,2.9895
spf-0934,1.50,0.5700,2.0700,32.0,194.0,36.17,1.4225,3.0095,0.0656,1.04,3.0203
spf-0934,1.50,0.5700,2.0700,32.0,192.0,36.17,1.4078,2.9785,0.0004,0.01,3.0518
spf-0934,1.50,0.5700,2.0700,32.0,193.0,36.17,1.4152,2.9940,0.0332,0.52,3.0360
spf-0934,1.50,0.5700,2.0700,32.0,200.0,36.17,1.4665,3.1026,0.2531,4.01,2.9297
spf-0934,1.50,0.5700,2.0700,32.0,195.0,36.17,1.4298,3.0250,0.0976,1.55,3.0048
spf-0934,1.50,0.5700,2.0700,32.0,199.0,36.17,1.4592,3.0871,0.2226,3.52,2.9444
spf-0934,1.50,0.5700,2.0700,32.0,198.0,36.17,1.4518,3.0716,0.1919,3.04,2.9593
spf-0934,1.50,0.5700,2.0700,32.0,197.0,36.17,1.4445,3.0561,0.1608,2.54,2.9743
spf-0931,1.50,0.5030,2.0030,30.0,189.0,35.86,1.4214,3.0082,0.0554,0.91,3.0243
spf-0931,1.50,0.5030,2.0030,30.0,190.0,35.86,1.4290,3.0241,0.0873,1.43,3.0084
spf-0931,1.50,0.5030,2.0030,30.0,191.0,35.86,1.4365,3.0400,0.1189,1.94,2.9927
spf-0931,1.50,0.5030,2.0030,30.0,192.0,35.86,1.4440,3.0559,0.1501,2.46,2.9771
spf-0931,1.50,0.5030,2.0030,30.0,197.0,35.86,1.4816,3.1355,0.3014,4.93,2.9015
spf-0931,1.50,0.5030,2.0030,30.0,198.0,35.86,1.4891,3.1514,0.3308,5.41,2.8869
spf-0931,1.50,0.5030,2.0030,30.0,199.0,35.86,1.4966,3.1673,0.3598,5.89,2.8723
spf-0931,1.50,0.5030,2.0030,30.0,200.0,35.86,1.5042,3.1832,0.3886,6.36,2.8580
spf-0931,1.50,0.5030,2.0030,30.0,188.0,35.86,1.4139,2.9923,0.0232,0.38,3.0404
spf-0931,1.50,0.5030,2.0030,30.0,194.0,35.86,1.4590,3.0877,0.2116,3.46,2.9464
spf-0931,1.50,0.5030,2.0030,30.0,195.0,35.86,1.4666,3.1037,0.2418,3.96,2.9313
